Date,State,District,Pin_Code,Age_0_5,Age_5_18,Age_18_Plus,Total_Enrolments,Population_Estimate
2023-10,Arunachal Pradesh,Tawang,133715,32380,80950,210471,323803,419848
2023-10,Nagaland,Kiphire,117357,150325,375813,977115,1503254,1884321
2023-10,Manipur,Churachandpur,130737,86453,216133,561946,864533,1258185
2023-10,Meghalaya,West Garo Hills,173042,117755,294389,765412,1177557,1331736
2023-10,Ladakh,Leh,174244,107043,267608,695781,1070433,1623196
2023-10,Mizoram,Champhai,120971,91190,227975,592736,911903,1005962
2023-10,Jammu and Kashmir,Kupwara,158145,171370,428426,1113908,1713705,1862504
2023-10,Jharkhand,Gumla,149751,130129,325322,845839,1301291,1489312
2023-10,Odisha,Malkangiri,164869,20831,52079,135406,208318,218938
2023-10,Chhattisgarh,Bijapur,126262,114712,286780,745628,1147120,1335108
2023-10,Delhi,South Delhi,139115,780013,1950033,5070085,7800132,9138246
2023-10,Telangana,Hyderabad,138115,585125,1462812,3803313,5851251,5895545
2023-10,Karnataka,Bangalore Urban,180515,634511,1586278,4124322,6345112,6370182
2023-10,Maharashtra,Mumbai Suburban,126366,780299,1950748,5071945,7802993,8520485
2023-10,Tamil Nadu,Chennai,111277,409056,1022642,2658869,4090568,4128595
2023-10,Kerala,Ernakulam,150143,112226,280566,729472,1122266,1133278
2023-10,Uttar Pradesh,Lucknow,129777,70577,176443,458752,705773,821476
2023-10,Rajasthan,Jaipur,112526,75983,189959,493893,759836,763930
2023-10,Gujarat,Ahmedabad,137565,7127,17819,46330,71278,80652
2023-10,West Bengal,Kolkata,150580,184835,462087,1201427,1848350,1891317
2023-10,Bihar,Patna,131826,120887,302218,785768,1208874,1364027
2023-10,Maharashtra,Pune,146916,28012,70032,182083,280129,324190
2023-10,Maharashtra,Nagpur,174305,32210,80525,209365,322101,351626
2023-10,Maharashtra,Thane,177564,69932,174831,454560,699324,708161
2023-10,Maharashtra,Nashik,152322,69202,173007,449818,692029,771705
2023-10,Madhya Pradesh,Indore,184213,64611,161529,419976,646118,732926
2023-10,Madhya Pradesh,Bhopal,167120,111601,279004,725411,1116018,1165257
2023-10,Madhya Pradesh,Gwalior,170940,39588,98972,257327,395889,409993
2023-10,Madhya Pradesh,Jabalpur,160012,140788,351970,915123,1407882,1627405
2023-10,Gujarat,Surat,124844,75299,188248,489444,752992,784738
2023-10,Gujarat,Vadodara,105575,172777,431942,1123050,1727770,1842035
2023-10,Gujarat,Rajkot,151943,145268,363171,944245,1452685,1474378
2023-10,Punjab,Ludhiana,157311,177862,444655,1156103,1778621,1886275
2023-10,Punjab,Amritsar,159171,103406,258516,672141,1034064,1120066
2023-10,Punjab,Jalandhar,176319,54401,136004,353611,544017,574177
2023-10,Andhra Pradesh,Visakhapatnam,108697,74690,186727,485490,746909,823699
2023-10,Andhra Pradesh,Vijayawada,113872,158214,395536,1028395,1582147,1772661
2023-10,Andhra Pradesh,Guntur,188569,100510,251276,653318,1005106,1011993
2023-10,Tamil Nadu,Coimbatore,107229,138470,346177,900060,1384709,1459789
2023-10,Tamil Nadu,Madurai,137005,73211,183027,475871,732110,782874
2023-10,Tamil Nadu,Tiruchirappalli,108614,163205,408013,1060835,1632055,1864791
2023-10,Uttar Pradesh,Kanpur,127484,12463,31158,81010,124632,144087
2023-10,Uttar Pradesh,Ghaziabad,146973,52285,130712,339852,522850,562012
2023-10,Uttar Pradesh,Agra,170071,100818,252045,655318,1008182,1075172
2023-10,Uttar Pradesh,Varanasi,149809,108519,271298,705375,1085193,1194371
2023-10,Uttar Pradesh,Meerut,118899,81161,202903,527549,811614,815210
2023-10,Uttar Pradesh,Prayagraj,160558,70841,177102,460467,708411,779546
2023-10,Jharkhand,Ranchi,111046,87849,219622,571018,878490,925032
2023-10,Jharkhand,Jamshedpur,182872,118743,296858,771832,1187435,1312051
2023-10,Jharkhand,Dhanbad,122635,127001,317504,825511,1270018,1344722
2023-10,Chhattisgarh,Raipur,151564,95780,239451,622572,957804,1042990
2023-10,Chhattisgarh,Bhilai,104456,104116,260290,676755,1041162,1179187
