District,State,Population,Aadhaar_Generated,Updates_Done,Child_Updates,Eligible_Children
District_1,State_A,327910,239316,3573,908,49186
District_2,State_A,1164687,921559,3165,983,174703
District_3,State_A,1674179,1571946,3639,514,251126
District_4,State_A,197094,139069,3024,137,29564
District_5,State_A,63369,57560,459,666,9505
District_6,State_A,1525310,1490563,1341,549,228796
District_7,State_A,1476455,1083370,2807,69,221468
District_8,State_A,1980725,1839496,2895,165,297108
District_9,State_A,1493333,1122239,2571,358,223999
District_10,State_A,1107478,983603,3256,107,166121
District_11,State_A,944321,873237,785,687,141648
District_12,State_A,235191,208813,1372,844,35278
District_13,State_A,430246,331392,298,684,64536
District_14,State_A,1968848,1481641,3049,421,295327
District_15,State_A,1126583,1061028,154,625,168987
District_16,State_A,1633615,1557011,1506,162,245042
District_17,State_A,1056460,967657,3235,739,158469
District_18,State_A,238127,172950,1248,716,35719
District_19,State_A,95457,90249,1968,572,14318
District_20,State_A,1100677,822543,3452,81,165101
District_21,State_A,1464238,1323219,826,639,219635
District_22,State_A,688938,521472,4604,309,103340
District_23,State_A,1348701,969570,3010,713,202305
District_24,State_A,233248,230373,2760,407,34987
District_25,State_A,898793,782207,396,386,134818
District_26,State_B,887945,801583,4154,843,133191
District_27,State_B,621487,614980,329,844,93223
District_28,State_B,556831,485536,3886,398,83524
District_29,State_B,654925,625439,3584,780,98238
District_30,State_B,595161,506741,4974,870,89274
District_31,State_B,1467605,1112345,1969,966,220140
District_32,State_B,1522986,1474532,4985,637,228447
District_33,State_B,476624,344504,1419,245,71493
District_34,State_B,1886649,1374453,4429,418,282997
District_35,State_B,1222031,933004,1421,434,183304
District_36,State_B,1741362,1505217,2876,178,261204
District_37,State_B,1723349,1367549,461,399,258502
District_38,State_B,1994792,1878467,1112,568,299218
District_39,State_B,58395,50821,592,170,8759
District_40,State_B,1378097,1207363,532,201,206714
District_41,State_B,672708,564196,3201,365,100906
District_42,State_B,223131,212851,884,403,33469
District_43,State_B,650426,542492,3428,642,97563
District_44,State_B,1935930,1599593,1400,911,290389
District_45,State_B,1646904,1224186,413,704,247035
District_46,State_B,1573982,1200963,2344,781,236097
District_47,State_B,1988080,1689134,3602,363,298212
District_48,State_B,1988918,1522897,771,406,298337
District_49,State_B,1712780,1375689,2973,888,256917
District_50,State_B,1728266,1341349,934,65,259239
